id,state,district,village,season,year,latitude,longitude,N,P,K,pH,EC,OC,S,Zn,Fe,Cu,Mn,B,temperature,humidity,rainfall,crop_recommended,soil_type
SHC000001,Punjab,Ludhiana,Village_1,Kharif,2024,31.8323,82.1588,117.3,72.0,207.6,7.92,1.35,0.737,35.0,0.64,17.6,1.22,1.2,0.68,38.5,85.9,1506.1,rice,Alluvial
SHC000002,Maharashtra,Pune,Village_2,Kharif,2023,21.8501,77.7923,213.9,71.8,203.5,5.18,1.1,1.018,30.4,1.4,16.9,2.75,5.4,0.24,27.6,41.8,852.0,wheat,Desert
SHC000003,Uttar Pradesh,Meerut,Village_3,Zaid,2024,15.0261,90.4032,166.2,58.3,332.0,8.27,3.51,1.276,19.8,0.62,11.1,0.4,9.2,0.94,41.2,76.1,2171.6,maize,Black
SHC000004,Punjab,Ludhiana,Village_4,Kharif,2023,27.582,74.5699,396.3,64.5,101.1,8.71,1.24,0.95,33.7,2.77,18.7,1.73,3.9,0.63,25.9,41.7,1740.6,sugarcane,Alluvial
SHC000005,Maharashtra,Pune,Village_5,Rabi,2023,10.541,79.5973,134.0,47.5,240.5,6.8,1.33,1.508,28.2,0.77,11.9,1.83,1.2,0.49,22.3,46.1,749.3,cotton,Desert
SHC000006,Uttar Pradesh,Meerut,Village_6,Zaid,2024,28.0118,73.0098,351.5,40.0,162.7,7.29,1.22,0.717,12.8,0.8,16.4,1.62,4.2,1.87,38.9,50.2,454.7,jute,Desert
SHC000007,Punjab,Ludhiana,Village_7,Zaid,2023,32.389,69.5398,277.5,58.7,366.7,8.51,3.91,0.657,19.5,1.31,11.7,1.16,7.7,0.12,15.5,76.5,2231.2,chickpea,Red
SHC000008,Maharashtra,Pune,Village_8,Kharif,2022,33.2443,83.1355,309.8,24.1,264.6,6.32,3.9,1.054,39.7,1.89,3.7,1.67,5.9,1.46,24.7,85.9,1632.0,kidneybeans,Laterite
SHC000009,Uttar Pradesh,Meerut,Village_9,Zaid,2023,32.4881,87.8113,183.0,51.3,151.4,7.41,2.05,0.247,21.5,0.74,9.0,0.8,8.5,1.43,37.2,53.5,207.9,pigeonpeas,Red
SHC000010,Punjab,Ludhiana,Village_10,Rabi,2024,28.1339,79.5457,61.4,39.3,253.2,6.97,1.01,1.055,38.2,1.07,13.4,0.54,3.5,1.78,33.8,35.6,808.7,mothbeans,Desert
SHC000011,Maharashtra,Pune,Village_11,Kharif,2023,23.6737,83.9601,190.8,12.4,185.3,8.81,0.17,1.488,45.5,2.33,7.8,1.61,8.8,1.95,17.9,38.1,2398.4,mungbean,Red
SHC000012,Uttar Pradesh,Meerut,Village_12,Kharif,2023,34.1928,74.0611,81.0,57.7,261.9,5.96,3.72,0.928,24.9,1.97,6.2,1.8,4.3,1.42,22.4,42.1,774.6,blackgram,Red
SHC000013,Punjab,Ludhiana,Village_13,Zaid,2022,13.6114,94.9829,327.3,28.7,392.3,8.48,0.35,1.66,40.9,0.82,14.0,2.91,7.1,1.65,18.0,77.3,670.9,lentil,Red
SHC000014,Maharashtra,Pune,Village_14,Zaid,2022,28.2665,83.8556,376.1,58.7,135.3,8.74,0.7,1.565,14.2,3.0,8.0,1.54,5.2,0.29,29.8,39.7,2044.6,pomegranate,Desert
SHC000015,Uttar Pradesh,Meerut,Village_15,Kharif,2023,10.465,70.4934,229.0,12.5,230.1,8.16,3.57,0.659,11.2,1.97,6.8,0.17,2.2,1.88,41.3,83.9,980.8,banana,Alluvial
SHC000016,Punjab,Ludhiana,Village_16,Rabi,2023,23.3247,77.6598,329.8,40.1,273.2,7.16,0.95,0.201,50.0,1.37,7.1,2.32,6.3,1.77,38.4,48.3,1562.2,mango,Black
SHC000017,Maharashtra,Pune,Village_17,Kharif,2023,31.5504,88.8315,76.9,59.9,110.5,5.73,2.41,1.034,43.3,1.9,19.4,2.58,4.1,1.68,41.1,93.0,228.9,grapes,Alluvial
SHC000018,Uttar Pradesh,Meerut,Village_18,Zaid,2023,22.2591,80.0252,372.0,38.4,278.8,7.77,0.17,1.264,29.8,1.86,3.4,0.26,2.6,1.75,25.7,58.2,1097.4,watermelon,Alluvial
SHC000019,Punjab,Ludhiana,Village_19,Rabi,2023,33.9087,77.2745,393.0,72.3,208.6,8.46,3.6,0.265,44.8,1.41,16.6,0.42,2.5,1.96,27.5,81.9,1925.6,muskmelon,Black
SHC000020,Maharashtra,Pune,Village_20,Rabi,2023,27.62,74.5483,80.9,73.0,370.5,7.42,1.9,1.195,25.1,2.32,15.6,2.48,5.7,1.62,19.7,32.0,1690.5,apple,Red
SHC000021,Uttar Pradesh,Meerut,Village_21,Zaid,2022,27.4704,79.8055,65.4,72.1,113.0,8.62,0.31,1.523,46.8,2.74,18.1,2.66,5.6,1.16,33.6,88.2,2127.8,orange,Black
SHC000022,Punjab,Ludhiana,Village_22,Kharif,2024,26.2651,71.7597,116.7,11.6,289.1,8.96,2.66,1.862,30.1,2.1,18.7,0.35,6.4,1.19,16.0,40.2,1470.4,papaya,Red
SHC000023,Maharashtra,Pune,Village_23,Rabi,2024,15.5642,77.6768,385.5,28.5,229.1,8.0,1.17,1.463,16.7,0.88,19.8,1.17,7.6,1.7,25.4,53.2,1978.1,coconut,Alluvial
SHC000024,Uttar Pradesh,Meerut,Village_24,Zaid,2022,17.4164,68.8852,276.4,52.0,386.4,6.61,3.74,1.568,20.1,0.25,15.1,1.54,9.7,0.14,30.7,81.3,2016.5,coffee,Alluvial
SHC000025,Punjab,Ludhiana,Village_25,Rabi,2024,13.0141,74.2001,325.1,34.1,219.9,6.51,0.93,1.89,41.8,0.9,3.9,1.18,4.7,0.11,41.6,85.3,2155.4,tea,Alluvial
SHC000026,Maharashtra,Pune,Village_26,Rabi,2024,12.2042,78.0452,158.6,74.6,125.9,7.35,1.99,1.957,48.5,1.39,9.9,1.22,8.1,0.29,18.5,75.8,238.4,mustard,Desert
SHC000027,Uttar Pradesh,Meerut,Village_27,Zaid,2024,27.9702,73.2855,314.9,65.3,377.7,7.9,3.48,1.347,34.3,2.09,9.3,0.76,4.7,1.23,35.7,59.7,959.3,groundnut,Alluvial
SHC000028,Punjab,Ludhiana,Village_28,Zaid,2022,20.1193,94.5208,204.6,58.9,385.5,6.98,1.69,1.951,42.8,2.83,9.2,2.12,3.2,1.75,43.0,47.4,441.3,sesame,Black
SHC000029,Maharashtra,Pune,Village_29,Kharif,2024,28.8515,79.4184,175.3,72.2,120.7,8.37,3.72,1.214,37.2,2.61,9.8,2.65,4.4,0.68,44.5,32.0,935.0,rice,Black
SHC000030,Uttar Pradesh,Meerut,Village_30,Rabi,2022,32.1354,73.2661,57.6,71.9,309.3,8.23,0.33,1.803,25.6,2.71,3.2,2.67,7.1,1.15,16.9,74.7,1574.9,wheat,Black
SHC000031,Punjab,Ludhiana,Village_31,Kharif,2023,26.5881,95.7634,382.6,37.0,290.8,5.81,1.71,0.692,23.4,2.09,5.8,0.62,4.4,0.29,39.4,92.3,2043.1,maize,Black
SHC000032,Maharashtra,Pune,Village_32,Rabi,2022,8.4578,77.4948,259.5,20.4,129.5,5.24,2.56,0.777,23.7,0.37,15.3,2.32,8.5,1.34,38.2,67.5,1330.8,sugarcane,Black
SHC000033,Uttar Pradesh,Meerut,Village_33,Rabi,2024,15.8792,87.8252,374.4,27.9,301.0,6.91,2.55,0.203,13.2,0.81,18.1,0.22,6.1,1.86,34.6,61.5,1087.8,cotton,Red
SHC000034,Punjab,Ludhiana,Village_34,Kharif,2022,24.6799,84.4549,384.9,68.5,282.7,7.15,2.92,1.647,20.4,2.07,4.4,1.35,9.4,0.72,19.6,39.5,1105.6,jute,Black
SHC000035,Maharashtra,Pune,Village_35,Rabi,2023,31.4164,91.3177,243.2,39.1,305.3,8.81,0.49,1.818,20.4,0.21,15.3,2.39,3.7,1.58,38.9,73.9,288.9,chickpea,Laterite
SHC000036,Uttar Pradesh,Meerut,Village_36,Rabi,2022,27.0748,71.8205,224.9,52.1,166.7,7.19,2.86,1.984,33.0,2.61,17.0,2.83,7.5,0.5,23.9,81.0,1397.9,kidneybeans,Laterite
SHC000037,Punjab,Ludhiana,Village_37,Kharif,2024,32.4765,78.373,258.7,50.7,138.1,5.36,3.57,1.88,46.0,1.31,7.2,2.83,8.9,1.66,25.0,71.5,1926.0,pigeonpeas,Laterite
SHC000038,Maharashtra,Pune,Village_38,Rabi,2022,28.4306,90.238,134.0,37.3,334.4,6.05,3.67,1.71,45.6,1.03,3.9,0.39,6.0,0.68,22.9,44.5,1492.8,mothbeans,Alluvial
SHC000039,Uttar Pradesh,Meerut,Village_39,Rabi,2024,11.7379,94.935,199.8,18.7,111.1,5.61,1.26,1.334,48.8,0.96,16.2,2.74,4.5,0.58,29.7,88.3,225.3,mungbean,Red
SHC000040,Punjab,Ludhiana,Village_40,Rabi,2023,29.5048,80.5689,84.6,16.0,171.4,7.21,0.68,0.587,29.1,0.81,17.4,1.81,1.8,0.37,20.9,70.9,443.0,blackgram,Red
SHC000041,Maharashtra,Pune,Village_41,Zaid,2023,20.9094,92.615,327.5,29.1,157.7,7.07,0.41,1.339,8.5,2.45,18.0,2.99,4.1,1.17,40.9,60.0,957.3,lentil,Black
SHC000042,Uttar Pradesh,Meerut,Village_42,Zaid,2023,10.1301,78.5269,170.1,55.3,209.8,6.54,1.22,1.294,24.4,2.86,18.1,0.79,4.6,1.31,15.5,44.8,855.6,pomegranate,Red
SHC000043,Punjab,Ludhiana,Village_43,Rabi,2022,15.1207,87.7718,211.9,28.8,132.2,8.47,3.53,0.335,35.9,0.66,13.6,2.73,3.3,0.76,38.9,77.8,1139.9,banana,Laterite
SHC000044,Maharashtra,Pune,Village_44,Kharif,2022,28.2169,81.5562,192.0,21.2,230.2,7.9,1.86,1.771,8.2,0.7,13.1,2.05,3.5,1.89,24.9,56.7,2445.7,mango,Black
SHC000045,Uttar Pradesh,Meerut,Village_45,Rabi,2023,21.9663,91.3269,156.0,60.0,129.8,8.57,0.88,0.743,48.2,0.63,6.6,1.78,9.8,1.41,18.4,78.6,1180.3,grapes,Desert
SHC000046,Punjab,Ludhiana,Village_46,Kharif,2023,25.1596,73.2954,265.5,75.4,333.0,5.27,2.57,1.206,22.2,2.56,16.3,1.98,7.7,0.47,42.6,73.4,1276.0,watermelon,Black
SHC000047,Maharashtra,Pune,Village_47,Kharif,2022,10.6114,77.2727,250.8,55.2,105.2,5.04,0.53,1.583,31.8,1.9,12.9,0.21,2.6,1.48,34.4,58.9,246.9,muskmelon,Red
SHC000048,Uttar Pradesh,Meerut,Village_48,Zaid,2024,27.2507,82.7153,220.8,20.7,205.4,8.84,1.43,1.265,10.5,0.38,9.6,1.85,4.4,0.44,37.1,39.1,1736.4,apple,Black
